region,icuLowCareFree,icuLowCareUsed,icuLowCareFreeIn24H,icuHighCareFree,icuHighCareUsed,icuHighCareFreeIn24H,icuEcmoFree,icuEcmoUsed,icuEcmoFreeIn24H,ecmoCasesPerYear,icuTotal,lastUpdated
Brandenburg,144,134,166,236,221,296,8,1,8,71,1040,1586202838
Berlin,67,190,123,241,509,235,21,6,22,231,1269,1586202838
Baden-Württemberg,338,449,354,725,1221,578,57,15,35,619,3383,1586202838
Bavaria,501,628,539,855,1631,807,65,27,41,746,4514,1586202838
Bremen,66,14,62,53,37,41,4,1,3,23,216,1586202838
Hesse,153,232,166,375,572,310,25,13,20,450,1680,1586202838
Hamburg,107,114,106,154,241,162,16,7,18,362,801,1586202838
Mecklenburg-Vorpommern,63,77,90,157,135,156,14,0,12,142,602,1586202838
Lower Saxony,235,179,213,388,386,308,29,5,12,323,1530,1586202838
North Rhine-Westphalia,795,929,826,1432,2118,1229,85,34,79,1324,6622,1586202838
Rhineland-Palatinate,119,115,99,173,228,185,14,5,4,171,839,1586202838
Schleswig-Holstein,88,107,64,311,367,265,11,2,8,128,1151,1586202838
Saarland,62,65,110,97,127,151,14,0,15,165,516,1586202838
Saxony,177,182,207,319,422,329,25,2,18,80,1456,1586202838
Saxony-Anhalt,145,170,94,274,198,141,15,0,11,52,943,1586202838
Thuringia,185,150,167,247,232,282,12,1,11,180,1109,1586202838
