regionCode,region,icuTotal,lastUpdated
BB,Brandenburg,745,1587909515
BE,Berlin,1450,1587909515
BW,Baden-Württemberg,3262,1587909515
BY,Bavaria,3790,1587909515
HB,Bremen,294,1587909515
HE,Hesse,1845,1587909515
HH,Hamburg,802,1587909515
MV,Mecklenburg-Vorpommern,1014,1587909515
NI,Lower Saxony,2362,1587909515
NRW,North Rhine-Westphalia,6148,1587909515
RP,Rhineland-Palatinate,1343,1587909515
SH,Schleswig-Holstein,867,1587909515
SL,Saarland,548,1587909515
SN,Saxony,1859,1587909515
ST,Saxony-Anhalt,972,1587909515
TH,Thuringia,730,1587909515
