region,icuTotal,lastUpdated
Abruzzo,109,1586020200
Basilicata,49,1586020200
Calabria,153,1586020200
Campania,506,1586020200
Emilia Romagna,449,1586020200
Friuli Venezia Giulia,127,1586020200
Lazio,557,1586020200
Liguria,186,1586020200
Lombardia,859,1586020200
Marche,115,1586020200
Molise,31,1586020200
Piemonte,317,1586020200
Trentino Alto Adige,72,1586020200
Puglia,302,1586020200
Sardegna,123,1586020200
Sicilia,392,1586020200
Toscana,377,1586020200
Umbria,70,1586020200
Valle d'Aosta,12,1586020200
Veneto,487,1586020200
