region,icuTotal,lastUpdated
Abruzzo,109,1586081189
Basilicata,49,1586081189
Calabria,153,1586081189
Campania,506,1586081189
Emilia Romagna,449,1586081189
Friuli Venezia Giulia,127,1586081189
Lazio,557,1586081189
Liguria,186,1586081189
Lombardia,859,1586081189
Marche,115,1586081189
Molise,31,1586081189
Piemonte,317,1586081189
Trentino Alto Adige,72,1586081189
Puglia,302,1586081189
Sardegna,123,1586081189
Sicilia,392,1586081189
Toscana,377,1586081189
Umbria,70,1586081189
Valle d'Aosta,12,1586081189
Veneto,487,1586081189
