region,regionCode,icuTotal,lastUpdated
Abruzzo,13,109,1586082473
Basilicata,17,49,1586082473
Calabria,18,153,1586082473
Campania,15,506,1586082473
Emilia Romagna,8,449,1586082473
Friuli Venezia Giulia,6,127,1586082473
Lazio,12,557,1586082473
Liguria,7,186,1586082473
Lombardia,3,859,1586082473
Marche,11,115,1586082473
Molise,14,31,1586082473
Piemonte,1,317,1586082473
Trentino Alto Adige,4,72,1586082473
Puglia,16,302,1586082473
Sardegna,20,123,1586082473
Sicilia,19,392,1586082473
Toscana,9,377,1586082473
Umbria,10,70,1586082473
Valle d'Aosta,2,12,1586082473
Veneto,5,487,1586082473
